epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.042464882135391235,0.054476939141750336,0.038803036293251325,0.5508997266893142,0.0024281999648086963,0.5795926537897907
2,0.036346785724163055,0.010213647037744522,0.08856093910365999,0.69783766055783,0.16323082596935104,0.7583475901556972
3,0.02010050043463707,0.021135350689291954,0.16552329865991497,0.8254302692462392,0.23112351460152364,0.8051302690022635
4,0.01769971288740635,0.008935964666306973,0.2149832646772271,0.8667347374025256,0.2590872963079382,0.8120277010167907
5,0.01127612590789795,0.009597915224730968,0.2604906303486846,0.8934137664148074,0.26474577863590193,0.819243565492602
