epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.1963915228843689,0.43590104579925537,0.7158861794408288,0.8636454744539267,0.6399251807918084,0.6826917015112748
2,0.04035226255655289,0.1763683259487152,0.6683418691199994,0.9323341800573153,0.7266961290735425,0.7396651670956593
3,0.0338820144534111,0.06858433037996292,0.7435468656623831,0.9377427388761365,0.736447440504638,0.7543060421079003
4,0.019460443407297134,0.21104344725608826,0.7721566450865753,0.9389746794757489,0.7352666794996987,0.7463870306850627
5,0.017306935042142868,0.08684015274047852,0.7615995522370583,0.9399896072791413,0.7549740554532421,0.7745721200121202
